EpochsDir,Dataset,Model,Strategy,TestAccuracy,TestLoss,BestEpoch,BestValAcc
matrix_results_100epochs,CIFAR100,MLP,ADAS WSL,0.2103,3.373359610762777,43,0.2282
matrix_results_100epochs,CIFAR100,MLP,BASELINE,0.2147,3.349621685245369,80,0.2256
matrix_results_100epochs,CIFAR100,MLP,CONSISTENCY,0.2109,3.3657803867436664,70,0.223
matrix_results_100epochs,CIFAR100,MLP,CO TRAINING,0.2138,3.3444944846479197,99,0.2262
matrix_results_100epochs,CIFAR100,MLP,PSEUDO LABELING,0.2117,3.3536831125428406,52,0.2276
matrix_results_100epochs,CIFAR100,RESNET,ADAS WSL,0.5666,2.1264618891703932,34,0.5662
matrix_results_100epochs,CIFAR100,RESNET,BASELINE,0.5636,3.570482257046277,100,0.5694
matrix_results_100epochs,CIFAR100,RESNET,CONSISTENCY,0.5547,2.1092360653454745,35,0.566
matrix_results_100epochs,CIFAR100,RESNET,CO TRAINING,0.5563,2.158632215065292,95,0.5652
matrix_results_100epochs,CIFAR100,RESNET,PSEUDO LABELING,0.5689,2.127974375893798,36,0.5562
matrix_results_100epochs,CIFAR100,SIMPLE CNN,ADAS WSL,0.4706,2.8814164596267893,93,0.4738
matrix_results_100epochs,CIFAR100,SIMPLE CNN,BASELINE,0.4628,4.194195620621307,67,0.473
matrix_results_100epochs,CIFAR100,SIMPLE CNN,CONSISTENCY,0.4665,2.889089406291141,64,0.4774
matrix_results_100epochs,CIFAR100,SIMPLE CNN,CO TRAINING,0.4694,2.9623715273941618,99,0.4754
matrix_results_100epochs,CIFAR100,SIMPLE CNN,PSEUDO LABELING,0.4772,2.968491964702365,93,0.4724
matrix_results_100epochs,CIFAR10N,MLP,ADAS WSL,0.5354,1.3368139297147341,40,0.5394
matrix_results_100epochs,CIFAR10N,MLP,BASELINE,0.5346,1.3305749274507355,51,0.5366
matrix_results_100epochs,CIFAR10N,MLP,CONSISTENCY,0.5305,1.3440995457806164,33,0.5348
matrix_results_100epochs,CIFAR10N,MLP,CO TRAINING,0.5307,1.3483367766006082,48,0.5336
matrix_results_100epochs,CIFAR10N,MLP,PSEUDO LABELING,0.5347,1.3922034954722924,54,0.5446
matrix_results_100epochs,CIFAR10N,RESNET,ADAS WSL,0.8486,0.8945654294913328,31,0.8506
matrix_results_100epochs,CIFAR10N,RESNET,BASELINE,0.8354,0.7472445557389078,12,0.8368
matrix_results_100epochs,CIFAR10N,RESNET,CONSISTENCY,0.8515,0.9214031552966637,58,0.8566
matrix_results_100epochs,CIFAR10N,RESNET,CO TRAINING,0.8451,0.8767522298082521,30,0.856
matrix_results_100epochs,CIFAR10N,RESNET,PSEUDO LABELING,0.8331,0.7369890529898149,14,0.8388
matrix_results_100epochs,CIFAR10N,SIMPLE CNN,ADAS WSL,0.7792,1.1856723450407196,22,0.7946
matrix_results_100epochs,CIFAR10N,SIMPLE CNN,BASELINE,0.7881,0.7664080922362171,10,0.7986
matrix_results_100epochs,CIFAR10N,SIMPLE CNN,CONSISTENCY,0.7881,0.7664080922362171,10,0.7986
matrix_results_100epochs,CIFAR10N,SIMPLE CNN,CO TRAINING,0.7881,0.7664080922362171,10,0.7986
matrix_results_100epochs,CIFAR10N,SIMPLE CNN,PSEUDO LABELING,0.7881,0.7664080922362171,10,0.7986
matrix_results_100epochs,STL10,MLP,ADAS WSL,0.429375,1.5934447863745311,16,0.448
matrix_results_100epochs,STL10,MLP,BASELINE,0.43425,1.6747679313023884,24,0.458
matrix_results_100epochs,STL10,MLP,CONSISTENCY,0.43425,1.6747679313023884,24,0.458
matrix_results_100epochs,STL10,MLP,CO TRAINING,0.43425,1.6747679313023884,24,0.458
matrix_results_100epochs,STL10,MLP,PSEUDO LABELING,0.43425,1.6747679313023884,24,0.458
matrix_results_100epochs,STL10,RESNET,ADAS WSL,0.57475,1.8508444002696447,16,0.598
matrix_results_100epochs,STL10,RESNET,BASELINE,0.582,2.130611843532986,27,0.592
matrix_results_100epochs,STL10,RESNET,CONSISTENCY,0.59325,2.093518626122248,25,0.598
matrix_results_100epochs,STL10,RESNET,CO TRAINING,0.581875,2.028634650366647,20,0.594
matrix_results_100epochs,STL10,RESNET,PSEUDO LABELING,0.56675,1.9607523660811166,16,0.58
matrix_results_100epochs,STL10,SIMPLE CNN,ADAS WSL,0.511125,2.4506121646790278,19,0.522
matrix_results_100epochs,STL10,SIMPLE CNN,BASELINE,0.526,2.456584396816435,25,0.528
matrix_results_100epochs,STL10,SIMPLE CNN,CONSISTENCY,0.526,2.456584396816435,25,0.528
matrix_results_100epochs,STL10,SIMPLE CNN,CO TRAINING,0.526,2.456584396816435,25,0.528
matrix_results_100epochs,STL10,SIMPLE CNN,PSEUDO LABELING,0.526,2.456584396816435,25,0.528
matrix_results_100epochs,SVHN,MLP,ADAS WSL,0.8164182544560541,0.6514304557851717,72,0.8453453453453453
matrix_results_100epochs,SVHN,MLP,BASELINE,0.8011677934849416,0.6940790262876773,46,0.8329238329238329
matrix_results_100epochs,SVHN,MLP,CONSISTENCY,0.7915642286416718,0.729275174000684,33,0.8266448266448266
matrix_results_100epochs,SVHN,MLP,CO TRAINING,0.7854947756607252,0.7327532156133184,33,0.8247338247338247
matrix_results_100epochs,SVHN,MLP,PSEUDO LABELING,0.8080055316533498,0.672147703521392,53,0.8387933387933388
matrix_results_100epochs,SVHN,RESNET,ADAS WSL,0.9414950829748002,0.21302863396704197,6,0.9407589407589407
matrix_results_100epochs,SVHN,RESNET,BASELINE,0.9426475107559926,0.20530818391810446,5,0.9411684411684411
matrix_results_100epochs,SVHN,RESNET,CONSISTENCY,0.9469114935464045,0.19109451719651036,6,0.9455364455364456
matrix_results_100epochs,SVHN,RESNET,CO TRAINING,0.9446834665027658,0.3276711318587117,17,0.9444444444444444
matrix_results_100epochs,SVHN,RESNET,PSEUDO LABELING,0.941879225568531,0.3422773503972327,19,0.9445809445809445
matrix_results_100epochs,SVHN,SIMPLE CNN,ADAS WSL,0.9325061462814997,0.30808544867471155,16,0.9331149331149331
matrix_results_100epochs,SVHN,SIMPLE CNN,BASELINE,0.9328518746158574,0.6766507200823695,98,0.9400764400764401
matrix_results_100epochs,SVHN,SIMPLE CNN,CONSISTENCY,0.9353488014751076,0.5391808202051941,95,0.9362544362544363
matrix_results_100epochs,SVHN,SIMPLE CNN,CO TRAINING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_100epochs,SVHN,SIMPLE CNN,PSEUDO LABELING,0.9308543331284573,0.5087943299874371,60,0.9352989352989353
matrix_results_50epochs,CIFAR100,MLP,ADAS WSL,0.2104,3.3806237751924537,25,0.2204
matrix_results_50epochs,CIFAR100,MLP,BASELINE,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,MLP,CONSISTENCY,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,MLP,CO TRAINING,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,MLP,PSEUDO LABELING,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,RESNET,ADAS WSL,0.5416,2.5339581272270104,14,0.5448
matrix_results_50epochs,CIFAR100,RESNET,BASELINE,0.5367,2.5825406825995145,15,0.5366
matrix_results_50epochs,CIFAR100,RESNET,CONSISTENCY,0.56,2.0487518220008174,35,0.5636
matrix_results_50epochs,CIFAR100,RESNET,CO TRAINING,0.5321,2.2517489013792593,10,0.534
matrix_results_50epochs,CIFAR100,RESNET,PSEUDO LABELING,0.5289,3.0022769034663335,20,0.5368
matrix_results_50epochs,CIFAR100,SIMPLE CNN,ADAS WSL,0.4705,3.156491925444784,32,0.4628
matrix_results_50epochs,CIFAR100,SIMPLE CNN,BASELINE,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR100,SIMPLE CNN,CONSISTENCY,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR100,SIMPLE CNN,CO TRAINING,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR100,SIMPLE CNN,PSEUDO LABELING,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR10N,MLP,ADAS WSL,0.5354,1.3368139297147341,40,0.5394
matrix_results_50epochs,CIFAR10N,MLP,BASELINE,0.5426,1.3262682474112208,43,0.5356
matrix_results_50epochs,CIFAR10N,MLP,CONSISTENCY,0.5305,1.3440995457806164,33,0.5348
matrix_results_50epochs,CIFAR10N,MLP,CO TRAINING,0.5307,1.3483367766006082,48,0.5336
matrix_results_50epochs,CIFAR10N,MLP,PSEUDO LABELING,0.5358,1.3759193918373012,45,0.54
matrix_results_50epochs,CIFAR10N,RESNET,ADAS WSL,0.835,0.8473234561425221,18,0.8438
matrix_results_50epochs,CIFAR10N,RESNET,BASELINE,0.8345,0.6162650113618826,9,0.8384
matrix_results_50epochs,CIFAR10N,RESNET,CONSISTENCY,0.8476,0.9316928416867799,44,0.853
matrix_results_50epochs,CIFAR10N,RESNET,CO TRAINING,0.8402,0.9391077926641778,34,0.8498
matrix_results_50epochs,CIFAR10N,RESNET,PSEUDO LABELING,0.8446,0.8705724583396429,24,0.8534
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,ADAS WSL,0.7792,1.1856723450407196,22,0.7946
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,BASELINE,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,CONSISTENCY,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,CO TRAINING,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,PSEUDO LABELING,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,SVHN,MLP,ADAS WSL,0.7963660110633067,0.6943575080995467,46,0.8322413322413322
matrix_results_50epochs,SVHN,MLP,BASELINE,0.8011677934849416,0.6940790262876773,46,0.8329238329238329
matrix_results_50epochs,SVHN,MLP,CONSISTENCY,0.7915642286416718,0.729275174000684,33,0.8266448266448266
matrix_results_50epochs,SVHN,MLP,CO TRAINING,0.7854947756607252,0.7327532156133184,33,0.8247338247338247
matrix_results_50epochs,SVHN,MLP,PSEUDO LABELING,0.8075829748002459,0.6837975856135873,47,0.8382473382473382
matrix_results_50epochs,SVHN,RESNET,ADAS WSL,0.9471035648432699,0.19285804478853358,4,0.941031941031941
matrix_results_50epochs,SVHN,RESNET,BASELINE,0.9338122311001844,0.2348122764378786,5,0.9393939393939394
matrix_results_50epochs,SVHN,RESNET,CONSISTENCY,0.9416871542716656,0.2325142163089385,8,0.943079443079443
matrix_results_50epochs,SVHN,RESNET,CO TRAINING,0.9453365089121082,0.2319415863238129,10,0.9445809445809445
matrix_results_50epochs,SVHN,RESNET,PSEUDO LABELING,0.9487553779963123,0.3978670446256943,45,0.9481299481299481
matrix_results_50epochs,SVHN,SIMPLE CNN,ADAS WSL,0.9325061462814997,0.30808544867471155,16,0.9331149331149331
matrix_results_50epochs,SVHN,SIMPLE CNN,BASELINE,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_50epochs,SVHN,SIMPLE CNN,CONSISTENCY,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_50epochs,SVHN,SIMPLE CNN,CO TRAINING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_50epochs,SVHN,SIMPLE CNN,PSEUDO LABELING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,CIFAR100,MLP,ADAS WSL,0.2104,3.3806237751924537,25,0.2204
matrix_results_35epochs,CIFAR100,MLP,BASELINE,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,MLP,CONSISTENCY,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,MLP,CO TRAINING,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,MLP,PSEUDO LABELING,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,RESNET,ADAS WSL,0.5277,1.9660901676250409,8,0.5318
matrix_results_35epochs,CIFAR100,RESNET,BASELINE,0.5443,3.232553898533688,33,0.5432
matrix_results_35epochs,CIFAR100,RESNET,CONSISTENCY,0.5326,2.928107919572275,21,0.5424
matrix_results_35epochs,CIFAR100,RESNET,CO TRAINING,0.559,2.0618647321870056,35,0.5624
matrix_results_35epochs,CIFAR100,RESNET,PSEUDO LABELING,0.562,2.2106907654412185,35,0.5648
matrix_results_35epochs,CIFAR100,SIMPLE CNN,ADAS WSL,0.4705,3.156491925444784,32,0.4628
matrix_results_35epochs,CIFAR100,SIMPLE CNN,BASELINE,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR100,SIMPLE CNN,CONSISTENCY,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR100,SIMPLE CNN,CO TRAINING,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR100,SIMPLE CNN,PSEUDO LABELING,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR10N,MLP,ADAS WSL,0.5288,1.3427280157427244,33,0.5328
matrix_results_35epochs,CIFAR10N,MLP,BASELINE,0.5327,1.3449245495132254,33,0.5272
matrix_results_35epochs,CIFAR10N,MLP,CONSISTENCY,0.5305,1.3440995457806164,33,0.5348
matrix_results_35epochs,CIFAR10N,MLP,CO TRAINING,0.5294,1.3516063207312474,32,0.5246
matrix_results_35epochs,CIFAR10N,MLP,PSEUDO LABELING,0.5294,1.3883273918417436,32,0.5254
matrix_results_35epochs,CIFAR10N,RESNET,ADAS WSL,0.8345,0.7261189448682568,14,0.8436
matrix_results_35epochs,CIFAR10N,RESNET,BASELINE,0.8394,0.8612759045407742,20,0.847
matrix_results_35epochs,CIFAR10N,RESNET,CONSISTENCY,0.8302,0.5761764811564095,7,0.8302
matrix_results_35epochs,CIFAR10N,RESNET,CO TRAINING,0.8406,0.916004108854487,31,0.8468
matrix_results_35epochs,CIFAR10N,RESNET,PSEUDO LABELING,0.8372,0.7196190666548813,13,0.8384
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,ADAS WSL,0.7792,1.1856723450407196,22,0.7946
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,BASELINE,0.7881,0.7664080922362171,10,0.7986
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,CONSISTENCY,0.7881,0.7664080922362171,10,0.7986
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,CO TRAINING,0.7881,0.7664080922362171,10,0.7986
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,PSEUDO LABELING,0.7881,0.7664080922362171,10,0.7986
matrix_results_35epochs,SVHN,MLP,ADAS WSL,0.7959050399508297,0.6903783858698957,33,0.8254163254163254
matrix_results_35epochs,SVHN,MLP,BASELINE,0.7931007990165949,0.6964167861961851,35,0.8214578214578214
matrix_results_35epochs,SVHN,MLP,CONSISTENCY,0.7915642286416718,0.729275174000684,33,0.8266448266448266
matrix_results_35epochs,SVHN,MLP,CO TRAINING,0.7854947756607252,0.7327532156133184,33,0.8247338247338247
matrix_results_35epochs,SVHN,MLP,PSEUDO LABELING,0.7967885679164106,0.7129649647018489,33,0.8295113295113296
matrix_results_35epochs,SVHN,RESNET,ADAS WSL,0.9441840811309158,0.31057139423986274,21,0.9458094458094458
matrix_results_35epochs,SVHN,RESNET,BASELINE,0.9422249539028887,0.2964390218988353,14,0.9436254436254436
matrix_results_35epochs,SVHN,RESNET,CONSISTENCY,0.9439151813153043,0.3443508262280375,26,0.9447174447174447
matrix_results_35epochs,SVHN,RESNET,CO TRAINING,0.9410725261216963,0.21440949289164707,5,0.938984438984439
matrix_results_35epochs,SVHN,RESNET,PSEUDO LABELING,0.9393438844499078,0.24635027440301344,8,0.9413049413049414
matrix_results_35epochs,SVHN,SIMPLE CNN,ADAS WSL,0.9325061462814997,0.30808544867471155,16,0.9331149331149331
matrix_results_35epochs,SVHN,SIMPLE CNN,BASELINE,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,SVHN,SIMPLE CNN,CONSISTENCY,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,SVHN,SIMPLE CNN,CO TRAINING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,SVHN,SIMPLE CNN,PSEUDO LABELING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
